icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
620.000000,0.321289,-0.960937,0.254394,62.000000,0.816345,-0.230789,0.062943,62.000000,-17.173645,-1.428421,-29.428528,62.000000
630.000000,0.314941,-0.966797,0.250977,63.000000,-0.034332,0.131607,0.062943,63.000000,-19.873642,-1.728424,-28.678528,63.000000
640.000000,0.324219,-0.964355,0.250000,64.000000,-0.095367,-0.169754,0.246048,64.000000,-19.573639,-0.828430,-28.228516,64.000000
650.000000,0.312012,-0.959961,0.246094,65.000000,-0.583649,-0.169754,-0.421524,65.000000,-19.573639,-2.928421,-29.428528,65.000000
660.000000,0.333984,-0.970215,0.245605,66.000000,0.083923,-0.230789,-0.360489,66.000000,-20.023636,-2.928421,-29.428528,66.000000
670.000000,0.311035,-0.972168,0.256836,67.000000,-0.095367,-0.291824,0.001907,67.000000,-19.273636,-1.728424,-30.928528,67.000000
680.000000,0.318848,-0.958496,0.253906,68.000000,0.450134,-0.169754,-0.299454,68.000000,-19.273636,-2.478424,-29.878525,68.000000
690.000000,0.311523,-0.965820,0.264648,69.000000,-0.217438,-0.474930,0.490189,69.000000,-19.273636,-2.178421,-29.428528,69.000000
700.000000,0.318848,-0.962402,0.254883,70.000000,-0.156403,0.619888,0.001907,70.000000,-21.073639,-2.178421,-29.428528,70.000000
710.000000,0.301269,-0.962890,0.238281,71.000000,-0.522614,0.131607,0.062943,71.000000,-20.023636,-2.178421,-29.428528,71.000000
720.000000,0.306641,-0.975586,0.259277,72.000000,0.083923,0.253677,0.368118,72.000000,-20.023636,-2.178421,-29.128525,72.000000
730.000000,0.315918,-0.970703,0.253418,73.000000,0.022888,0.192642,0.429153,73.000000,-20.023636,-2.178421,-29.128525,73.000000
740.000000,0.312500,-0.960937,0.248535,74.000000,-0.278473,-0.047684,0.673294,74.000000,-20.023636,-2.178421,-29.428528,74.000000
750.000000,0.313476,-0.979492,0.261719,75.000000,-0.278473,0.070572,0.307083,75.000000,-20.023636,-1.428421,-29.128525,75.000000
