cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
38,3627,3685,72540.0,73720.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1180.0,880.0,300.0,140.0,160.0,74.57627118644068,25.423728813559322,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
39,3686,3746,73720.0,74940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1220.0,900.0,320.0,160.0,160.0,73.77049180327869,26.229508196721312,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
40,3747,3813,74940.0,76280.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1340.0,980.0,360.0,140.0,220.0,73.13432835820896,26.865671641791046,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
41,3814,3876,76280.0,77560.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,920.0,360.0,180.0,180.0,71.875,28.125,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
42,3877,3952,77560.0,79060.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1500.0,1300.0,200.0,100.0,100.0,86.66666666666667,13.333333333333334,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_swing_ms robust z=-5.9
43,3953,4061,79060.0,81260.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2200.0,1260.0,940.0,160.0,780.0,57.27272727272727,42.72727272727273,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_swing_ms robust z=11.3; stance_percent robust z=-4.1
44,4062,4269,81260.0,85440.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,4180.0,3800.0,380.0,140.0,240.0,90.9090909090909,9.090909090909092,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=14.2; stance_percent robust z=4.5
45,4270,4347,85440.0,86960.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1520.0,1120.0,400.0,160.0,240.0,73.6842105263158,26.31578947368421,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
46,4348,4409,86960.0,88220.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1260.0,920.0,340.0,160.0,180.0,73.01587301587301,26.984126984126984,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
47,4410,4473,88220.0,89500.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,820.0,460.0,200.0,260.0,64.0625,35.9375,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
48,4474,4560,89500.0,91240.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1740.0,1680.0,60.0,20.0,40.0,96.55172413793103,3.4482758620689653,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=6.0; log_swing_ms robust z=-19.3; stance_percent robust z=5.9
49,4561,4609,91240.0,92220.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,980.0,500.0,480.0,200.0,280.0,51.02040816326531,48.97959183673469,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=-6.1; log_swing_ms robust z=3.8; stance_percent robust z=-5.7
50,4610,4738,92220.0,94780.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2560.0,2220.0,340.0,160.0,180.0,86.71875,13.28125,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=8.8
51,4739,4802,94780.0,96080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1300.0,900.0,400.0,200.0,200.0,69.23076923076923,30.76923076923077,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
