cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
30,3692,3776,181860.0,183560.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1700.0,1120.0,580.0,260.0,320.0,65.88235294117646,34.11764705882353,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
31,3777,3864,183560.0,185320.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1760.0,1180.0,580.0,260.0,320.0,67.04545454545455,32.95454545454545,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
32,3865,3954,185320.0,187140.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1820.0,1240.0,580.0,280.0,300.0,68.13186813186813,31.86813186813187,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
33,3955,4126,187140.0,190560.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3420.0,2860.0,560.0,260.0,300.0,83.62573099415205,16.374269005847953,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_stance_ms robust z=17.6; stance_percent robust z=12.0
34,4127,4221,190560.0,192460.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1900.0,1320.0,580.0,240.0,340.0,69.47368421052632,30.526315789473685,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
35,4222,4306,192460.0,194160.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1700.0,1160.0,540.0,220.0,320.0,68.23529411764706,31.764705882352942,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
36,4307,4397,194160.0,195980.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1820.0,1260.0,560.0,220.0,340.0,69.23076923076923,30.76923076923077,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
37,4398,4489,195980.0,197820.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1840.0,1240.0,600.0,260.0,340.0,67.3913043478261,32.608695652173914,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
38,4490,4808,197820.0,204200.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,6380.0,5960.0,420.0,220.0,200.0,93.41692789968653,6.58307210031348,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_stance_ms robust z=33.0; log_swing_ms robust z=-6.4; stance_percent robust z=19.5
39,4809,4906,204200.0,206160.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1960.0,1360.0,600.0,300.0,300.0,69.38775510204081,30.612244897959183,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
40,4907,5031,206160.0,208680.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2520.0,1320.0,1200.0,180.0,1020.0,52.38095238095238,47.61904761904762,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_swing_ms robust z=14.5; stance_percent robust z=-11.7
41,5032,5547,208680.0,,1→2,full_cycle,standard,,"0,6",0→6,,,,,,,,False,,,,,rejected,False,forced_reject,rejected by user
